Name,taxi_st_type,taxi_st_lat,taxi_st_lon,taxi_pln_area,mrt_stn
kml_332,TAXI STAND,1.30488199,103.9089767,MARINE PARADE,
kml_333,TAXI STAND,1.318336701,103.8633766,KALLANG,
kml_334,TAXI STAND,1.383315798,103.884955,HOUGANG,
kml_335,TAXI STAND,1.307895985,103.8628696,KALLANG,
kml_336,TAXI STOP,1.306747313,103.8626187,KALLANG,EW11
kml_337,TAXI STAND,1.322747509,103.854956,NOVENA,
kml_338,TAXI STAND,1.324691924,103.8508013,NOVENA,
kml_339,TAXI STAND,1.303317347,103.8614008,ROCHOR,
kml_340,TAXI STAND,1.299802974,103.8635384,DOWNTOWN CORE,CC05
kml_341,TAXI STAND,1.302936879,103.8649488,DOWNTOWN CORE,
kml_342,TAXI PICK UP,1.379134719,103.7618431,BUKIT PANJANG,DT01
kml_343,,1.340693596,103.6369993,TUAS,EW33
kml_344,TAXI STOP,1.310866692,103.8560297,KALLANG,
kml_345,TAXI STAND,1.311019212,103.8548866,KALLANG,
kml_346,TAXI STAND,1.305252149,103.8516179,ROCHOR,
kml_347,TAXI STAND,1.312200518,103.8375865,NEWTON,NS21
kml_348,TAXI STAND,1.27621903,103.8202538,BUKIT MERAH,
kml_349,TAXI STOP,1.341339887,103.9615463,TAMPINES,DT34
kml_350,TAXI STOP,1.341995727,103.961343,TAMPINES,DT34
